_id,lon,lat,zip
64c088d6f9a9ebc9a7466590,-71.013,43.006,210
64c088d6f9a9ebc9a7466591,-71.013,43.006,211
64c088d6f9a9ebc9a7466592,-71.013,43.006,212
64c088d6f9a9ebc9a7466593,-71.013,43.006,213
64c088d6f9a9ebc9a7466594,-71.013,43.006,214
64c088d6f9a9ebc9a7466595,-71.013,43.006,215
64c088d6f9a9ebc9a7466596,-72.637,40.922,501
64c088d6f9a9ebc9a7466597,-72.637,40.922,544
64c088d6f9a9ebc9a7466598,-66.723,18.165,601
64c088d6f9a9ebc9a7466599,-67.181,18.393,602
64c088d6f9a9ebc9a746659a,-67.146,18.456,603
64c088d6f9a9ebc9a746659b,-67.136,18.494,604
64c088d6f9a9ebc9a746659c,-67.141,18.465,605
64c088d6f9a9ebc9a746659d,-66.944,18.173,606
64c088d6f9a9ebc9a746659e,-67.14,18.289,610
64c088d6f9a9ebc9a746659f,-66.802,18.28,611
64c088d6f9a9ebc9a74665a0,-66.698,18.451,612
64c088d6f9a9ebc9a74665a1,-66.733,18.458,613
64c088d6f9a9ebc9a74665a2,-66.675,18.43,614
64c088d6f9a9ebc9a74665a3,-66.641,18.445,616
64c088d6f9a9ebc9a74665a4,-66.544,18.447,617
64c088d6f9a9ebc9a74665a5,-67.187,17.999,622
64c088d6f9a9ebc9a74665a6,-67.15,18.062,623
64c088d6f9a9ebc9a74665a7,-66.726,18.024,624
64c088d6f9a9ebc9a74665a8,-66.855,18.478,627
64c088d6f9a9ebc9a74665a9,-66.865,18.269,631
64c088d6f9a9ebc9a74665aa,-67.04,18.113,636
64c088d6f9a9ebc9a74665ab,-66.935,18.087,637
64c088d6f9a9ebc9a74665ac,-66.472,18.336,638
64c088d6f9a9ebc9a74665ad,-66.699,18.25,641
64c088d6f9a9ebc9a74665ae,-66.282,18.436,646
64c088d6f9a9ebc9a74665af,-66.94,17.97,647
64c088d6f9a9ebc9a74665b0,-66.562,18.36,650
64c088d6f9a9ebc9a74665b1,-66.603,18.457,652
64c088d6f9a9ebc9a74665b2,-66.899,17.972,653
64c088d6f9a9ebc9a74665b3,-66.787,18.023,656
64c088d6f9a9ebc9a74665b4,-66.809,18.481,659
64c088d6f9a9ebc9a74665b5,-67.135,18.145,660
64c088d6f9a9ebc9a74665b6,-67.028,18.48,662
64c088d6f9a9ebc9a74665b7,-66.598,18.218,664
64c088d6f9a9ebc9a74665b8,-67.056,18.015,667
64c088d6f9a9ebc9a74665b9,-66.882,18.296,669
64c088d6f9a9ebc9a74665ba,-66.991,18.252,670
64c088d6f9a9ebc9a74665bb,-66.49,18.446,674
64c088d6f9a9ebc9a74665bc,-67.081,18.384,676
64c088d6f9a9ebc9a74665bd,-67.253,18.336,677
64c088d6f9a9ebc9a74665be,-66.934,18.453,678
64c088d6f9a9ebc9a74665bf,-67.508,18.219,680
64c088d6f9a9ebc9a74665c0,-67.508,18.219,681
64c088d6f9a9ebc9a74665c1,-67.508,18.219,682
64c088d6f9a9ebc9a74665c2,-67.04,18.113,683
64c088d6f9a9ebc9a74665c3,-66.972,18.324,685
64c088d6f9a9ebc9a74665c4,-66.415,18.317,687
64c088d6f9a9ebc9a74665c5,-66.675,18.43,688
64c088d6f9a9ebc9a74665c6,-67.14,18.476,690
64c088d6f9a9ebc9a74665c7,-66.339,18.436,692
64c088d6f9a9ebc9a74665c8,-66.398,18.443,693
64c088d6f9a9ebc9a74665c9,-66.398,18.443,694
64c088d6f9a9ebc9a74665ca,-66.861,18.061,698
64c088d6f9a9ebc9a74665cb,-66.128,18.25,703
64c088d6f9a9ebc9a74665cc,-66.139,17.992,704
64c088d6f9a9ebc9a74665cd,-66.269,18.128,705
64c088d6f9a9ebc9a74665ce,-65.899,18.007,707
64c088d6f9a9ebc9a74665cf,-66.041,17.968,714
64c088d6f9a9ebc9a74665d0,-66.564,18.012,715
64c088d6f9a9ebc9a74665d1,-66.607,18.002,716
64c088d6f9a9ebc9a74665d2,-66.607,18.002,717
64c088d6f9a9ebc9a74665d3,-65.778,18.221,718
64c088d6f9a9ebc9a74665d4,-66.23,18.298,719
64c088d6f9a9ebc9a74665d5,-66.394,18.227,720
64c088d6f9a9ebc9a74665d6,-65.778,18.364,721
64c088d6f9a9ebc9a74665d7,-66.011,18.01,723
64c088d6f9a9ebc9a74665d8,-66.058,18.213,725
64c088d6f9a9ebc9a74665d9,-66.058,18.213,726
64c088d6f9a9ebc9a74665da,-66.607,18.002,728
64c088d6f9a9ebc9a74665db,-65.884,18.333,729
64c088d6f9a9ebc9a74665dc,-66.607,18.002,730
64c088d6f9a9ebc9a74665dd,-66.626,18.038,731
64c088d6f9a9ebc9a74665de,-66.614,18.022,732
64c088d6f9a9ebc9a74665df,-66.619,18.019,733
64c088d6f9a9ebc9a74665e0,-66.644,17.999,734
64c088d6f9a9ebc9a74665e1,-65.595,18.265,735
64c088d6f9a9ebc9a74665e2,-66.139,18.103,736
64c088d6f9a9ebc9a74665e3,-66.139,18.103,737
64c088d6f9a9ebc9a74665e4,-65.611,18.359,738
64c088d6f9a9ebc9a74665e5,-66.17,18.181,739
64c088d6f9a9ebc9a74665e6,-65.639,18.332,740
64c088d6f9a9ebc9a74665e7,-65.753,18.162,741
64c088d6f9a9ebc9a74665e8,-65.595,18.265,742
64c088d6f9a9ebc9a74665e9,-65.743,18.206,744
64c088d6f9a9ebc9a74665ea,-65.817,18.367,745
64c088d6f9a9ebc9a74665eb,-66.265,17.999,751
64c088d6f9a9ebc9a74665ec,-65.962,18.188,754
64c088d6f9a9ebc9a74665ed,-66.396,17.991,757
64c088d6f9a9ebc9a74665ee,-65.46,18.123,765
64c088d6f9a9ebc9a74665ef,-66.497,18.121,766
64c088d6f9a9ebc9a74665f0,-65.887,18.046,767
64c088d6f9a9ebc9a74665f1,-66.351,18.096,769
64c088d6f9a9ebc9a74665f2,-65.872,18.197,771
64c088d6f9a9ebc9a74665f3,-65.899,18.447,772
64c088d6f9a9ebc9a74665f4,-65.708,18.366,773
64c088d6f9a9ebc9a74665f5,-65.296,18.324,775
64c088d6f9a9ebc9a74665f6,-65.902,18.206,777
64c088d6f9a9ebc9a74665f7,-65.975,18.259,778
64c088d6f9a9ebc9a74665f8,-66.607,18.002,780
64c088d6f9a9ebc9a74665f9,-66.22,18.225,782
64c088d6f9a9ebc9a74665fa,-66.331,18.304,783
64c088d6f9a9ebc9a74665fb,-66.139,17.992,784
64c088d6f9a9ebc9a74665fc,-66.796,18.019,785
64c088d6f9a9ebc9a74665fd,-66.269,18.128,786
64c088d6f9a9ebc9a74665fe,-65.788,18.138,791
64c088d6f9a9ebc9a74665ff,-65.788,18.138,792
64c088d6f9a9ebc9a7466600,-66.307,18.201,794
64c088d6f9a9ebc9a7466601,-66.493,17.997,795
64c088d6f9a9ebc9a7466602,-64.964,18.322,801
64c088d6f9a9ebc9a7466603,-64.964,18.322,802
64c088d6f9a9ebc9a7466604,-64.964,18.322,803
64c088d6f9a9ebc9a7466605,-64.964,18.322,804
64c088d6f9a9ebc9a7466606,-64.964,18.322,805
64c088d6f9a9ebc9a7466607,-64.735,17.734,820
64c088d6f9a9ebc9a7466608,-64.735,17.734,821
64c088d6f9a9ebc9a7466609,-64.735,17.734,822
64c088d6f9a9ebc9a746660a,-64.735,17.734,823
64c088d6f9a9ebc9a746660b,-64.735,17.734,824
64c088d6f9a9ebc9a746660c,-64.741,18.328,830
64c088d6f9a9ebc9a746660d,-64.741,18.328,831
64c088d6f9a9ebc9a746660e,-64.735,17.734,840
64c088d6f9a9ebc9a746660f,-64.735,17.734,841
64c088d6f9a9ebc9a7466610,-64.735,17.734,850
64c088d6f9a9ebc9a7466611,-64.735,17.734,851
64c088d6f9a9ebc9a7466612,-66.104,18.466,901
64c088d6f9a9ebc9a7466613,-66.061,18.41,902
64c088d6f9a9ebc9a7466614,-66.061,18.41,906
64c088d6f9a9ebc9a7466615,-66.077,18.452,907
64c088d6f9a9ebc9a7466616,-66.061,18.41,908
64c088d6f9a9ebc9a7466617,-66.068,18.443,909
64c088d6f9a9ebc9a7466618,-66.061,18.41,910
64c088d6f9a9ebc9a7466619,-66.058,18.451,911
64c088d6f9a9ebc9a746661a,-66.06,18.444,912
64c088d6f9a9ebc9a746661b,-66.043,18.451,913
64c088d6f9a9ebc9a746661c,-66.061,18.41,914
64c088d6f9a9ebc9a746661d,-66.048,18.438,915
64c088d6f9a9ebc9a746661e,-66.061,18.41,916
64c088d6f9a9ebc9a746661f,-66.051,18.422,917
64c088d6f9a9ebc9a7466620,-66.062,18.419,918
64c088d6f9a9ebc9a7466621,-66.061,18.41,919
64c088d6f9a9ebc9a7466622,-66.092,18.407,920
64c088d6f9a9ebc9a7466623,-66.066,18.39,921
64c088d6f9a9ebc9a7466624,-66.061,18.41,922
64c088d6f9a9ebc9a7466625,-66.037,18.411,923
64c088d6f9a9ebc9a7466626,-66.011,18.396,924
64c088d6f9a9ebc9a7466627,-66.05,18.401,925
64c088d6f9a9ebc9a7466628,-66.063,18.369,926
64c088d6f9a9ebc9a7466629,-66.072,18.385,927
64c088d6f9a9ebc9a746662a,-66.061,18.41,928
64c088d6f9a9ebc9a746662b,-66.061,18.41,929
64c088d6f9a9ebc9a746662c,-66.061,18.41,930
64c088d6f9a9ebc9a746662d,-66.061,18.41,931
64c088d6f9a9ebc9a746662e,-66.061,18.41,933
64c088d6f9a9ebc9a746662f,-66.166,18.345,934
64c088d6f9a9ebc9a7466630,-66.061,18.41,935
64c088d6f9a9ebc9a7466631,-66.061,18.41,936
64c088d6f9a9ebc9a7466632,-66.061,18.41,937
64c088d6f9a9ebc9a7466633,-66.061,18.41,938
64c088d6f9a9ebc9a7466634,-66.061,18.41,939
